Sub-County,Total*,per cent,Male,per cent,Female,per cent
RARIEDA,"20,014",14.1,"11,204",16.7,"8,810",11.8
KISUMU,"253,426",23.9,"139,088",27.2,"114,331",20.8
KISUMU EAST,"58,879",29.1,"32,495",32.8,"26,383",25.5
KISUMU CENTRAL,"69,939",44.2,"35,949",47.5,"33,988",41.2
KISUMU WEST,"37,566",23.9,"21,267",27.6,"16,298",20.2
SEME,"16,203",14.4,"9,129",17.2,"7,073",11.9
MUHORONI,"21,854",15.5,"13,071",18.7,"8,783",12.3
NYANDO,"26,699",17.9,"14,708",20.7,"11,989",15.3
NYAKACH,"22,286",15.9,"12,469",18.9,"9,817",13.3
HOMA BAY,"157,625",15.2,"90,677",18.4,"66,942",12.3
HOMA BAY,"23,393",21.9,"12,944",25.7,"10,448",18.4
NDHIWA,"22,435",11.3,"13,601",14.5,"8,833",8.4
RACHUONYO NORTH,"24,220",14.7,"13,944",17.8,"10,274",11.9
RACHUONYO EAST,"16,195",14.4,"9,144",17.3,"7,050",11.9
RACHUONYO SOUTH,"20,941",17.4,"11,513",20.4,"9,428",14.7
RANGWE,"15,654",14.4,"8,826",17.4,"6,828",11.8
SUBA NORTH,"20,600",18.0,"12,091",21.9,"8,508",14.4
SUBA SOUTH,"14,187",12.7,"8,614",16.0,"5,573",9.6
MIGORI,"145,208",14.3,"85,341",17.5,"59,865",11.3
AWENDO,"17,002",15.9,"10,180",19.8,"6,822",12.2
KURIA EAST,"9,524",10.8,"5,787",13.6,"3,737",8.2
KURIA WEST,"24,267",12.8,"14,421",15.7,"9,846",10.1
NYATIKE,"19,558",12.2,"12,035",15.9,"7,523",8.9
RONGO,"20,094",17.6,"11,293",20.9,"8,801",14.6
SUNA EAST,"19,636",17.6,"11,257",21.1,"8,378",14.3
SUNA WEST,"19,051",16.5,"10,745",19.6,"8,305",13.7
URIRI,"16,076",12.4,"9,623",15.5,"6,453",9.6
KISII,"188,888",16.0,"107,428",19.1,"81,453",13.2
ETAGO,"8,625",11.0,"5,200",13.9,"3,424",8.4
GUCHA,"12,159",15.7,"6,815",18.6,"5,344",13.0
GUCHA SOUTH,"10,281",13.2,"6,051",16.3,"4,229",10.4
KENYENYA,"15,998",13.0,"9,279",15.9,"6,719",10.4
KISII CENTRAL,"36,585",23.9,"20,230",27.4,"16,354",20.6
KISII SOUTH,"18,760",14.9,"10,792",18.0,"7,968",12.1
KITUTU CENTRAL,"35,265",24.6,"19,207",27.9,"16,055",21.7
MARANI,"11,969",11.9,"7,021",14.9,"4,948",9.3
